title,artist,rank,genre
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",86,hip-hop-rb-songs
Birthday Song,2 Chainz Featuring Kanye West,87,hip-hop-rb-songs
The One,Tamar Braxton,88,hip-hop-rb-songs
Show Out,Juicy J Featuring Big Sean & Young Jeezy,89,hip-hop-rb-songs
It Won't Stop,Sevyn Streeter Featuring Chris Brown,90,hip-hop-rb-songs
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",91,hip-hop-rb-songs
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",92,hip-hop-rb-songs
V.S.O.P.,K. Michelle,93,hip-hop-rb-songs
No Lie,2 Chainz Featuring Drake,94,hip-hop-rb-songs
Freaks,French Montana Featuring Nicki Minaj,95,hip-hop-rb-songs
Work,A$AP Ferg,96,hip-hop-rb-songs
LoveHate Thing,Wale Featuring Sam Dew,97,hip-hop-rb-songs
I'm Out,Ciara Featuring Nicki Minaj,98,hip-hop-rb-songs
Versace,Migos,99,hip-hop-rb-songs
Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",100,hip-hop-rb-songs
Happy,Pharrell Williams,1,hip-hop-rb-songs
All Of Me,John Legend,2,hip-hop-rb-songs
Fancy,Iggy Azalea Featuring Charli XCX,3,hip-hop-rb-songs
Talk Dirty,Jason Derulo Featuring 2 Chainz,4,hip-hop-rb-songs
The Monster,Eminem Featuring Rihanna,5,hip-hop-rb-songs
Black Widow,Iggy Azalea Featuring Rita Ora,6,hip-hop-rb-songs
Drunk In Love,Beyonce Featuring Jay Z,7,hip-hop-rb-songs
Wiggle,Jason Derulo Featuring Snoop Dogg,8,hip-hop-rb-songs
Anaconda,Nicki Minaj,9,hip-hop-rb-songs
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,10,hip-hop-rb-songs
Don't Tell 'Em,Jeremih Featuring YG,11,hip-hop-rb-songs
Show Me,Kid Ink Featuring Chris Brown,12,hip-hop-rb-songs
The Man,Aloe Blacc,13,hip-hop-rb-songs
Hot Boy,Bobby Shmurda,14,hip-hop-rb-songs
2 On,Tinashe Featuring ScHoolboy Q,15,hip-hop-rb-songs
Na Na,Trey Songz,16,hip-hop-rb-songs
My Hitta,YG Featuring Jeezy & Rich Homie Quan,17,hip-hop-rb-songs
"Hold On, We're Going Home",Drake Featuring Majid Jordan,18,hip-hop-rb-songs
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,19,hip-hop-rb-songs
New Flame,Chris Brown Featuring Usher & Rick Ross,20,hip-hop-rb-songs
Partition,Beyonce,21,hip-hop-rb-songs
Love Never Felt So Good,Michael Jackson & Justin Timberlake,22,hip-hop-rb-songs
No Mediocre,T.I. Featuring Iggy Azalea,23,hip-hop-rb-songs
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,24,hip-hop-rb-songs
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",25,hip-hop-rb-songs
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,26,hip-hop-rb-songs
Believe Me,Lil Wayne Featuring Drake,27,hip-hop-rb-songs
Paranoid,Ty Dolla $ign Featuring B.o.B,28,hip-hop-rb-songs
0 To 100 / The Catch Up,Drake,29,hip-hop-rb-songs
Pills N Potions,Nicki Minaj,30,hip-hop-rb-songs
The Worst,Jhene Aiko,31,hip-hop-rb-songs
We Dem Boyz,Wiz Khalifa,32,hip-hop-rb-songs
Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,33,hip-hop-rb-songs
Rap God,Eminem,34,hip-hop-rb-songs
No Flex Zone,Rae Sremmurd,35,hip-hop-rb-songs
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,36,hip-hop-rb-songs
Trophies,Young Money Featuring Drake,37,hip-hop-rb-songs
Who Do You Love?,YG Featuring Drake,38,hip-hop-rb-songs
All Me,Drake Featuring 2 Chainz & Big Sean,39,hip-hop-rb-songs
About The Money,T.I. Featuring Young Thug,40,hip-hop-rb-songs
It Won't Stop,Sevyn Streeter Featuring Chris Brown,41,hip-hop-rb-songs
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino",42,hip-hop-rb-songs
Main Chick,Kid Ink Featuring Chris Brown,43,hip-hop-rb-songs
Cut Her Off,KCamp Featuring 2 Chainz,44,hip-hop-rb-songs
Work,Iggy Azalea,45,hip-hop-rb-songs
Up Down (Do This All Day),T-Pain Featuring B.o.B,46,hip-hop-rb-songs
Come Get It Bae,Pharrell Williams,47,hip-hop-rb-songs
Stoner,Young Thug,48,hip-hop-rb-songs
Good Kisser,Usher,49,hip-hop-rb-songs
V. 3005,Childish Gambino,50,hip-hop-rb-songs
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,51,hip-hop-rb-songs
I Don't F**k With You,Big Sean Featuring E-40,52,hip-hop-rb-songs
No Type,Rae Sremmurd,53,hip-hop-rb-songs
Tuesday,I LOVE MAKONNEN Featuring Drake,54,hip-hop-rb-songs
Man Of The Year,ScHoolboy Q,55,hip-hop-rb-songs
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",56,hip-hop-rb-songs
Love More,Chris Brown Featuring Nicki Minaj,57,hip-hop-rb-songs
Holy Grail,Jay Z Featuring Justin Timberlake,58,hip-hop-rb-songs
Fight Night,Migos,59,hip-hop-rb-songs
XO,Beyonce,60,hip-hop-rb-songs
The Language,Drake,61,hip-hop-rb-songs
Ride,SoMo,62,hip-hop-rb-songs
Part II (On The Run),Jay Z Featuring Beyonce,63,hip-hop-rb-songs
Gas Pedal,Sage The Gemini Featuring IamSu!,64,hip-hop-rb-songs
i,Kendrick Lamar,65,hip-hop-rb-songs
Hookah,Tyga Featuring Young Thug,66,hip-hop-rb-songs
Headlights,Eminem Featuring Nate Ruess,67,hip-hop-rb-songs
Foreign,Trey Songz,68,hip-hop-rb-songs
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,69,hip-hop-rb-songs
She Twerkin,Ca$h Out,70,hip-hop-rb-songs
Bound 2,Kanye West,71,hip-hop-rb-songs
24 Hours,TeeFLii Featuring 2 Chainz,72,hip-hop-rb-songs
They Don't Know,Rico Love,73,hip-hop-rb-songs
TKO,Justin Timberlake,74,hip-hop-rb-songs
Handsome And Wealthy,Migos,75,hip-hop-rb-songs
I Won,Future Featuring Kanye West,76,hip-hop-rb-songs
Walk Thru,Rich Homie Quan Featuring Problem,77,hip-hop-rb-songs
You & I (Nobody In The World),John Legend,78,hip-hop-rb-songs
I Luv This Sh*t,August Alsina Featuring Trinidad James,79,hip-hop-rb-songs
You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,80,hip-hop-rb-songs
Can't Raise A Man,K. Michelle,81,hip-hop-rb-songs
Berzerk,Eminem,82,hip-hop-rb-songs
2AM.,Adrian Marcel Featuring Sage The Gemini,83,hip-hop-rb-songs
Survival,Eminem,84,hip-hop-rb-songs
Confident,Justin Bieber Featuring Chance The Rapper,85,hip-hop-rb-songs
Feelin' Myself,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",86,hip-hop-rb-songs
Seen It All,Jeezy Featuring Jay Z,87,hip-hop-rb-songs
I Mean It,G-Eazy Featuring Remo,88,hip-hop-rb-songs
Money Baby,KCamp Featuring Kwony Ca$h,89,hip-hop-rb-songs
Yayo,Snootie Wild & Yo Gotti & DJ Drama,90,hip-hop-rb-songs
No Love,August Alsina,91,hip-hop-rb-songs
Worst Behavior,Drake,92,hip-hop-rb-songs
Tom Ford,JAY-Z,93,hip-hop-rb-songs
I Know,Yo Gotti Featuring Rich Homie Quan,94,hip-hop-rb-songs
HeadBand,B.o.B Featuring 2 Chainz,95,hip-hop-rb-songs
Guts Over Fear,Eminem Featuring Sia,96,hip-hop-rb-songs
Often,The Weeknd,97,hip-hop-rb-songs
She Knows,J. Cole Featuring Amber Coffman & The Cults,98,hip-hop-rb-songs
John Doe,B.o.B Featuring Priscilla,99,hip-hop-rb-songs
Red Nose,Sage The Gemini,100,hip-hop-rb-songs
See You Again,Wiz Khalifa Featuring Charlie Puth,1,hip-hop-rb-songs
Trap Queen,Fetty Wap,2,hip-hop-rb-songs
Watch Me,Silento,3,hip-hop-rb-songs
The Hills,The Weeknd,4,hip-hop-rb-songs
Can't Feel My Face,The Weeknd,5,hip-hop-rb-songs
Earned It (Fifty Shades Of Grey),The Weeknd,6,hip-hop-rb-songs
679,Fetty Wap Featuring Remy Boyz,7,hip-hop-rb-songs
Hotline Bling,Drake,8,hip-hop-rb-songs
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,9,hip-hop-rb-songs
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,10,hip-hop-rb-songs
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,11,hip-hop-rb-songs
Somebody,Natalie La Rose Featuring Jeremih,12,hip-hop-rb-songs
My Way,Fetty Wap Featuring Monty,13,hip-hop-rb-songs
B**** Better Have My Money,Rihanna,14,hip-hop-rb-songs
Nasty Freestyle,T-Wayne,15,hip-hop-rb-songs
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",16,hip-hop-rb-songs
I Don't Mind,Usher Featuring Juicy J,17,hip-hop-rb-songs
I Don't F**k With You,Big Sean Featuring E-40,18,hip-hop-rb-songs
7/11,Beyonce,19,hip-hop-rb-songs
Flex (Ooh Ooh Ooh),Rich Homie Quan,20,hip-hop-rb-songs
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,21,hip-hop-rb-songs
Classic Man,Jidenna Featuring Roman GianArthur,22,hip-hop-rb-songs
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,23,hip-hop-rb-songs
Blessings,Big Sean Featuring Drake,24,hip-hop-rb-songs
No Type,Rae Sremmurd,25,hip-hop-rb-songs
One Dance,Drake Featuring WizKid & Kyla,1,hip-hop-rb-songs
Panda,Desiigner,2,hip-hop-rb-songs
Work,Rihanna Featuring Drake,3,hip-hop-rb-songs
Needed Me,Rihanna,4,hip-hop-rb-songs
"Me, Myself & I",G-Eazy x Bebe Rexha,5,hip-hop-rb-songs
Hotline Bling,Drake,6,hip-hop-rb-songs
Too Good,Drake Featuring Rihanna,7,hip-hop-rb-songs
Broccoli,D.R.A.M. Featuring Lil Yachty,8,hip-hop-rb-songs
Here,Alessia Cara,9,hip-hop-rb-songs
The Hills,The Weeknd,10,hip-hop-rb-songs
Controlla,Drake,11,hip-hop-rb-songs
Jumpman,Drake & Future,12,hip-hop-rb-songs
Don't Mind,Kent Jones,13,hip-hop-rb-songs
Don't,Bryson Tiller,14,hip-hop-rb-songs
Low Life,Future Featuring The Weeknd,15,hip-hop-rb-songs
For Free,DJ Khaled Featuring Drake,16,hip-hop-rb-songs
Starboy,The Weeknd Featuring Daft Punk,17,hip-hop-rb-songs
2 Phones,Kevin Gates,18,hip-hop-rb-songs
Oui,Jeremih,19,hip-hop-rb-songs
In The Night,The Weeknd,20,hip-hop-rb-songs
Down In The DM,Yo Gotti Featuring Nicki Minaj,21,hip-hop-rb-songs
Luv,Tory Lanez,22,hip-hop-rb-songs
Sorry,Beyonce,23,hip-hop-rb-songs
Say It,Tory Lanez,24,hip-hop-rb-songs
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",25,hip-hop-rb-songs
Exchange,Bryson Tiller,26,hip-hop-rb-songs
Antidote,Travis Scott,27,hip-hop-rb-songs
Pop Style,Drake Featuring The Throne,28,hip-hop-rb-songs
679,Fetty Wap Featuring Remy Boyz,29,hip-hop-rb-songs
White Iverson,Post Malone,31,hip-hop-rb-songs
Cut It,O.T. Genasis Featuring Young Dolph,32,hip-hop-rb-songs
Back To Sleep,Chris Brown,33,hip-hop-rb-songs
No Limit,Usher Featuring Young Thug,34,hip-hop-rb-songs
Wicked,Future,35,hip-hop-rb-songs
Tiimmy Turner,Desiigner,36,hip-hop-rb-songs
Black Beatles,Rae Sremmurd Featuring Gucci Mane,37,hip-hop-rb-songs
Really Really,Kevin Gates,38,hip-hop-rb-songs
"Father Stretch My Hands, Pt. 1",Kanye West,39,hip-hop-rb-songs
Summer Sixteen,Drake,40,hip-hop-rb-songs
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,41,hip-hop-rb-songs
I Got The Keys,DJ Khaled Featuring Jay Z & Future,42,hip-hop-rb-songs
Money Longer,Lil Uzi Vert,43,hip-hop-rb-songs
Uber Everywhere,MadeinTYO,44,hip-hop-rb-songs
THat Part,ScHoolboy Q Featuring Kanye West,45,hip-hop-rb-songs
Best Friend,Young Thug,46,hip-hop-rb-songs
Can't Feel My Face,The Weeknd,47,hip-hop-rb-songs
Hold Up,Beyonce,48,hip-hop-rb-songs
Come And See Me,PARTYNEXTDOOR Featuring Drake,49,hip-hop-rb-songs
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,50,hip-hop-rb-songs
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,51,hip-hop-rb-songs
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,52,hip-hop-rb-songs
OOOUUU,Young M.A,53,hip-hop-rb-songs
My PYT,Wale,54,hip-hop-rb-songs
1 Night,Lil Yachty,55,hip-hop-rb-songs
Again,Fetty Wap,56,hip-hop-rb-songs
Childs Play,Drake,57,hip-hop-rb-songs
Formation,Beyonce,58,hip-hop-rb-songs
Wake Up,Fetty Wap,59,hip-hop-rb-songs
Caroline,Amine,60,hip-hop-rb-songs
Famous,Kanye West,61,hip-hop-rb-songs
You Was Right,Lil Uzi Vert,62,hip-hop-rb-songs
Body,Dreezy Featuring Jeremih,63,hip-hop-rb-songs
Still Here,Drake,64,hip-hop-rb-songs
Do It Like Me,DLOW,65,hip-hop-rb-songs
Promise,Kid Ink Featuring Fetty Wap,66,hip-hop-rb-songs
Hit The Quan,iLoveMemphis,67,hip-hop-rb-songs
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,68,hip-hop-rb-songs
Might Not,Belly Featuring The Weeknd,69,hip-hop-rb-songs
Why You Always Hatin?,YG Featuring Drake & Kamaiyah,70,hip-hop-rb-songs
Hype,Drake,71,hip-hop-rb-songs
Kiss It Better,Rihanna,73,hip-hop-rb-songs
Big Rings,Drake & Future,74,hip-hop-rb-songs
My Boo,Ghost Town DJ's,75,hip-hop-rb-songs
Where Ya At,Future Featuring Drake,76,hip-hop-rb-songs
Lockjaw,French Montana Featuring Kodak Black,77,hip-hop-rb-songs
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,78,hip-hop-rb-songs
X,21 Savage & Metro Boomin Featuring Future,79,hip-hop-rb-songs
Sorry Not Sorry,Bryson Tiller,80,hip-hop-rb-songs
Acquainted,The Weeknd,81,hip-hop-rb-songs
No Shopping,French Montana Featuring Drake,82,hip-hop-rb-songs
Watch Out,2 Chainz,83,hip-hop-rb-songs
Gangsta,Kehlani,84,hip-hop-rb-songs
Sex With Me,Rihanna,85,hip-hop-rb-songs
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",86,hip-hop-rb-songs
Back Up,DeJ Loaf Featuring Big Sean,87,hip-hop-rb-songs
Look Alive,Rae Sremmurd,88,hip-hop-rb-songs
Grammys,Drake Featuring Future,89,hip-hop-rb-songs
Law,Yo Gotti Featuring E-40,90,hip-hop-rb-songs
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,91,hip-hop-rb-songs
The Fix,Nelly Featuring Jeremih,92,hip-hop-rb-songs
Key To The Streets,YFN Lucci Featuring Migos & Trouble,93,hip-hop-rb-songs
Grass Ain't Greener,Chris Brown,94,hip-hop-rb-songs
Fade,Kanye West,95,hip-hop-rb-songs
New Level,A$AP Ferg Featuring Future,96,hip-hop-rb-songs
Moolah,Young Greatness,97,hip-hop-rb-songs
With You,Drake Featuring PARTYNEXTDOOR,98,hip-hop-rb-songs
Stick Talk,Future,99,hip-hop-rb-songs
Might Be,DJ Luke Nasty,100,hip-hop-rb-songs
That's What I Like,Bruno Mars,1,hip-hop-rb-songs
Humble.,Kendrick Lamar,2,hip-hop-rb-songs
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",3,hip-hop-rb-songs
Bad And Boujee,Migos Featuring Lil Uzi Vert,4,hip-hop-rb-songs
Unforgettable,French Montana Featuring Swae Lee,5,hip-hop-rb-songs
Congratulations,Post Malone Featuring Quavo,6,hip-hop-rb-songs
Mask Off,Future,7,hip-hop-rb-songs
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,8,hip-hop-rb-songs
XO TOUR Llif3,Lil Uzi Vert,9,hip-hop-rb-songs
Bodak Yellow (Money Moves),Cardi B,10,hip-hop-rb-songs
Black Beatles,Rae Sremmurd Featuring Gucci Mane,11,hip-hop-rb-songs
24K Magic,Bruno Mars,12,hip-hop-rb-songs
Starboy,The Weeknd Featuring Daft Punk,13,hip-hop-rb-songs
iSpy,KYLE Featuring Lil Yachty,14,hip-hop-rb-songs
Redbone,Childish Gambino,15,hip-hop-rb-songs
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,16,hip-hop-rb-songs
I Feel It Coming,The Weeknd Featuring Daft Punk,17,hip-hop-rb-songs
Fake Love,Drake,18,hip-hop-rb-songs
Bounce Back,Big Sean,19,hip-hop-rb-songs
Bad Things,Machine Gun Kelly x Camila Cabello,20,hip-hop-rb-songs
Love On The Brain,Rihanna,21,hip-hop-rb-songs
Location,Khalid,22,hip-hop-rb-songs
Bank Account,21 Savage,23,hip-hop-rb-songs
Rake It Up,Yo Gotti Featuring Nicki Minaj,24,hip-hop-rb-songs
T-Shirt,Migos,25,hip-hop-rb-songs
Tunnel Vision,Kodak Black,26,hip-hop-rb-songs
Rockstar,Post Malone Featuring 21 Savage,27,hip-hop-rb-songs
Rolex,Ayo & Teo,28,hip-hop-rb-songs
DNA.,Kendrick Lamar,29,hip-hop-rb-songs
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,30,hip-hop-rb-songs
Passionfruit,Drake,31,hip-hop-rb-songs
Swang,Rae Sremmurd,32,hip-hop-rb-songs
Loyalty.,Kendrick Lamar Featuring Rihanna,33,hip-hop-rb-songs
Slide,Calvin Harris Featuring Frank Ocean & Migos,34,hip-hop-rb-songs
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,35,hip-hop-rb-songs
Both,Gucci Mane Featuring Drake,36,hip-hop-rb-songs
Caroline,Amine,37,hip-hop-rb-songs
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",38,hip-hop-rb-songs
Love Galore,SZA Featuring Travis Scott,39,hip-hop-rb-songs
Slippery,Migos Featuring Gucci Mane,40,hip-hop-rb-songs
Young Dumb & Broke,Khalid,41,hip-hop-rb-songs
Magnolia,Playboi Carti,42,hip-hop-rb-songs
Everyday We Lit,YFN Lucci Featuring PnB Rock,43,hip-hop-rb-songs
Do Re Mi,blackbear,44,hip-hop-rb-songs
I Get The Bag,Gucci Mane Featuring Migos,45,hip-hop-rb-songs
Butterfly Effect,Travis Scott,46,hip-hop-rb-songs
Look At Me!,XXXTENTACION,47,hip-hop-rb-songs
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,48,hip-hop-rb-songs
Love.,Kendrick Lamar Featuring Zacari,49,hip-hop-rb-songs
Party,Chris Brown Featuring Usher & Gucci Mane,50,hip-hop-rb-songs
Deja Vu,J. Cole,51,hip-hop-rb-songs
Portland,Drake Featuring Quavo & Travis Scott,52,hip-hop-rb-songs
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",53,hip-hop-rb-songs
The Weekend,SZA,54,hip-hop-rb-songs
First Day Out,Tee Grizzley,55,hip-hop-rb-songs
Party Monster,The Weeknd,56,hip-hop-rb-songs
Love Me Now,John Legend,57,hip-hop-rb-songs
Gucci Gang,Lil Pump,58,hip-hop-rb-songs
Versace On The Floor,Bruno Mars,59,hip-hop-rb-songs
Goosebumps,Travis Scott,60,hip-hop-rb-songs
Moves,Big Sean,61,hip-hop-rb-songs
Used To This,Future Featuring Drake,62,hip-hop-rb-songs
Losin Control,Russ,63,hip-hop-rb-songs
The Race,Tay-K,64,hip-hop-rb-songs
OOOUUU,Young M.A,65,hip-hop-rb-songs
Privacy,Chris Brown,66,hip-hop-rb-songs
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,67,hip-hop-rb-songs
Shining,DJ Khaled Featuring Beyonce & JAY Z,68,hip-hop-rb-songs
No Heart,21 Savage & Metro Boomin,69,hip-hop-rb-songs
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,70,hip-hop-rb-songs
Reminder,The Weeknd,71,hip-hop-rb-songs
Roll In Peace,Kodak Black Featuring XXXTENTACION,72,hip-hop-rb-songs
Good Drank,2 Chainz x Gucci Mane x Quavo,73,hip-hop-rb-songs
X,21 Savage & Metro Boomin Featuring Future,74,hip-hop-rb-songs
Jocelyn Flores,XXXTENTACION,75,hip-hop-rb-songs
Element.,Kendrick Lamar,76,hip-hop-rb-songs
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,77,hip-hop-rb-songs
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,78,hip-hop-rb-songs
