genre,word,count,percentage
Christian,love,426,64.0
Christian,heart,387,58.099999999999994
Christian,life,365,54.800000000000004
Christian,god,357,53.6
Christian,feel,262,39.300000000000004
Christian,time,242,36.3
Christian,jesus,227,34.1
Christian,day,226,33.900000000000006
Christian,thing,205,30.8
Christian,hand,199,29.9
Christian,lord,196,29.4
Christian,hope,195,29.299999999999997
Christian,grace,190,28.499999999999996
Christian,light,187,28.1
Christian,eye,185,27.800000000000004
Christian,hold,185,27.800000000000004
Christian,soul,167,25.1
Christian,hear,150,22.5
Christian,good,148,22.2
Christian,fall,143,21.5
Christian,lost,142,21.3
Christian,fear,140,21.0
Christian,night,140,21.0
Christian,free,138,20.7
Christian,broken,136,20.4
Christian,live,133,20.0
Christian,stand,133,20.0
Christian,sing,132,19.8
Christian,inside,123,18.5
Christian,open,116,17.4
Christian,song,115,17.299999999999997
Christian,faith,112,16.8
Christian,fight,111,16.7
Christian,place,111,16.7
Christian,power,111,16.7
Christian,face,108,16.2
Christian,start,103,15.5
Christian,man,102,15.299999999999999
Christian,turn,101,15.2
Christian,hard,100,15.0
Christian,king,100,15.0
Christian,leave,100,15.0
Christian,promise,100,15.0
Christian,voice,100,15.0
Christian,heaven,99,14.899999999999999
Christian,set,99,14.899999999999999
Christian,walk,99,14.899999999999999
Christian,forever,98,14.7
Christian,pain,98,14.7
Christian,breath,97,14.6
Christian,darkness,96,14.399999999999999
Christian,lie,95,14.299999999999999
Christian,matter,95,14.299999999999999
Christian,truth,95,14.299999999999999
Christian,mercy,93,14.000000000000002
Christian,high,92,13.8
Christian,break,90,13.5
Christian,alive,89,13.4
Christian,cross,89,13.4
Christian,thought,89,13.4
Christian,water,89,13.4
Christian,foot,88,13.200000000000001
Christian,mountain,88,13.200000000000001
Christian,bring,87,13.100000000000001
Christian,change,87,13.100000000000001
Christian,joy,86,12.9
Christian,left,86,12.9
Christian,moment,86,12.9
Christian,word,86,12.9
Christian,long,85,12.8
Christian,praise,84,12.6
Christian,dead,83,12.5
Christian,strength,83,12.5
Christian,deep,82,12.3
